title,price_raw,location,link
"Dra-på-lakan 2 st. barnvagn, babykorg",,,https://www.blocket.se/annons/skane/dra_pa_lakan_2_st_barnvagn_babykorg/1213479444
"Barnvagn med tillbehör 3 i 1, 4 i 1",,,https://www.blocket.se/annons/skane/barnvagn_med_tillbehor_3_i_1_4_i_1/1213479593
Emmaljunga nxt90 barnvagn,,,https://www.blocket.se/annons/stockholm/emmaljunga_nxt90_barnvagn_/1213479478
Barnvagn,,,https://www.blocket.se/annons/orebro/barnvagn/1213479363
kinderkraft barnvagn,,,https://www.blocket.se/annons/goteborg/kinderkraft_barnvagn/1213478953
barnvagn,,,https://www.blocket.se/annons/varmland/barnvagn/1213477518
barnvagn ihopfällbar sulky,,,https://www.blocket.se/annons/stockholm/barnvagn_ihopfallbar_sulky/1213478286
Barnvagn Bugaboo Buffalo med tillbehör,,,https://www.blocket.se/annons/skane/barnvagn_bugaboo_buffalo_med_tillbehor/1213478261
Barnvagn Babyjogger City mini,,,https://www.blocket.se/annons/stockholm/barnvagn_babyjogger_city_mini_/1213477411
Barnvagn Britax smile 3,,,https://www.blocket.se/annons/jonkoping/barnvagn_britax_smile_3/1213477184
